Field Name,Type,Parent,API
"id","ID","AmpUpdate","balancerArbitrum"
"poolId","Pool","AmpUpdate","balancerArbitrum"
"scheduledTimestamp","Int","AmpUpdate","balancerArbitrum"
"startTimestamp","BigInt","AmpUpdate","balancerArbitrum"
"endTimestamp","BigInt","AmpUpdate","balancerArbitrum"
"startAmp","BigInt","AmpUpdate","balancerArbitrum"
"endAmp","BigInt","AmpUpdate","balancerArbitrum"
"id","ID","Balancer","balancerArbitrum"
"poolCount","Int","Balancer","balancerArbitrum"
"pools","Unknown","Balancer","balancerArbitrum"
"snapshots","Unknown","Balancer","balancerArbitrum"
"totalLiquidity","BigDecimal","Balancer","balancerArbitrum"
"totalSwapCount","BigInt","Balancer","balancerArbitrum"
"totalSwapVolume","BigDecimal","Balancer","balancerArbitrum"
"totalSwapFee","BigDecimal","Balancer","balancerArbitrum"
"totalProtocolFee","BigDecimal","Balancer","balancerArbitrum"
"protocolFeesCollector","Bytes","Balancer","balancerArbitrum"
"id","ID","BalancerSnapshot","balancerArbitrum"
"vault","Balancer","BalancerSnapshot","balancerArbitrum"
"timestamp","Int","BalancerSnapshot","balancerArbitrum"
"poolCount","Int","BalancerSnapshot","balancerArbitrum"
"totalLiquidity","BigDecimal","BalancerSnapshot","balancerArbitrum"
"totalSwapCount","BigInt","BalancerSnapshot","balancerArbitrum"
"totalSwapVolume","BigDecimal","BalancerSnapshot","balancerArbitrum"
"totalSwapFee","BigDecimal","BalancerSnapshot","balancerArbitrum"
"totalProtocolFee","BigDecimal","BalancerSnapshot","balancerArbitrum"
"id","ID","CircuitBreaker","balancerArbitrum"
"pool","Pool","CircuitBreaker","balancerArbitrum"
"token","PoolToken","CircuitBreaker","balancerArbitrum"
"bptPrice","BigDecimal","CircuitBreaker","balancerArbitrum"
"lowerBoundPercentage","BigDecimal","CircuitBreaker","balancerArbitrum"
"upperBoundPercentage","BigDecimal","CircuitBreaker","balancerArbitrum"
"id","ID","FXOracle","balancerArbitrum"
