Field Name,Type,Parent,API
"id","ID","AmpUpdate","balancerAvalanche"
"poolId","Pool","AmpUpdate","balancerAvalanche"
"scheduledTimestamp","Int","AmpUpdate","balancerAvalanche"
"startTimestamp","BigInt","AmpUpdate","balancerAvalanche"
"endTimestamp","BigInt","AmpUpdate","balancerAvalanche"
"startAmp","BigInt","AmpUpdate","balancerAvalanche"
"endAmp","BigInt","AmpUpdate","balancerAvalanche"
"id","ID","Balancer","balancerAvalanche"
"poolCount","Int","Balancer","balancerAvalanche"
"pools","Unknown","Balancer","balancerAvalanche"
"snapshots","Unknown","Balancer","balancerAvalanche"
"totalLiquidity","BigDecimal","Balancer","balancerAvalanche"
"totalSwapCount","BigInt","Balancer","balancerAvalanche"
"totalSwapVolume","BigDecimal","Balancer","balancerAvalanche"
"totalSwapFee","BigDecimal","Balancer","balancerAvalanche"
"totalProtocolFee","BigDecimal","Balancer","balancerAvalanche"
"protocolFeesCollector","Bytes","Balancer","balancerAvalanche"
"id","ID","BalancerSnapshot","balancerAvalanche"
"vault","Balancer","BalancerSnapshot","balancerAvalanche"
"timestamp","Int","BalancerSnapshot","balancerAvalanche"
"poolCount","Int","BalancerSnapshot","balancerAvalanche"
"totalLiquidity","BigDecimal","BalancerSnapshot","balancerAvalanche"
"totalSwapCount","BigInt","BalancerSnapshot","balancerAvalanche"
"totalSwapVolume","BigDecimal","BalancerSnapshot","balancerAvalanche"
"totalSwapFee","BigDecimal","BalancerSnapshot","balancerAvalanche"
"totalProtocolFee","BigDecimal","BalancerSnapshot","balancerAvalanche"
"id","ID","CircuitBreaker","balancerAvalanche"
"pool","Pool","CircuitBreaker","balancerAvalanche"
"token","PoolToken","CircuitBreaker","balancerAvalanche"
"bptPrice","BigDecimal","CircuitBreaker","balancerAvalanche"
"lowerBoundPercentage","BigDecimal","CircuitBreaker","balancerAvalanche"
"upperBoundPercentage","BigDecimal","CircuitBreaker","balancerAvalanche"
"id","ID","FXOracle","balancerAvalanche"
"tokens","Unknown","FXOracle","balancerAvalanche"
"divisor","String","FXOracle","balancerAvalanche"
