Field Name,Type,Parent,Depth,API,Description
"id","ID","null","0","balancerEthereum",""
"poolId","Pool","null","0","balancerEthereum",""
"scheduledTimestamp","Int","null","0","balancerEthereum",""
"startTimestamp","BigInt","null","0","balancerEthereum",""
"endTimestamp","BigInt","null","0","balancerEthereum",""
"startAmp","BigInt","null","0","balancerEthereum",""
"endAmp","BigInt","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"poolCount","Int","null","0","balancerEthereum",""
"pools","Unknown","null","0","balancerEthereum",""
"snapshots","Unknown","null","0","balancerEthereum",""
"totalLiquidity","BigDecimal","null","0","balancerEthereum",""
"totalSwapCount","BigInt","null","0","balancerEthereum",""
"totalSwapVolume","BigDecimal","null","0","balancerEthereum",""
"totalSwapFee","BigDecimal","null","0","balancerEthereum",""
"totalProtocolFee","BigDecimal","null","0","balancerEthereum",""
"protocolFeesCollector","Bytes","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"vault","Balancer","null","0","balancerEthereum",""
"timestamp","Int","null","0","balancerEthereum",""
"poolCount","Int","null","0","balancerEthereum",""
"totalLiquidity","BigDecimal","null","0","balancerEthereum",""
"totalSwapCount","BigInt","null","0","balancerEthereum",""
"totalSwapVolume","BigDecimal","null","0","balancerEthereum",""
"totalSwapFee","BigDecimal","null","0","balancerEthereum",""
"totalProtocolFee","BigDecimal","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"pool","Pool","null","0","balancerEthereum",""
"token","PoolToken","null","0","balancerEthereum",""
"bptPrice","BigDecimal","null","0","balancerEthereum",""
"lowerBoundPercentage","BigDecimal","null","0","balancerEthereum",""
"upperBoundPercentage","BigDecimal","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"tokens","Unknown","null","0","balancerEthereum",""
"divisor","String","null","0","balancerEthereum",""
"decimals","Int","null","0","balancerEthereum",""
"id","ID","null","0","balancerEthereum",""
"poolId","Pool","null","0","balancerEthereum",""
