Field Name,Type,Parent,API
"id","ID","AmpUpdate","balancerOptimism"
"poolId","Pool","AmpUpdate","balancerOptimism"
"scheduledTimestamp","Int","AmpUpdate","balancerOptimism"
"startTimestamp","BigInt","AmpUpdate","balancerOptimism"
"endTimestamp","BigInt","AmpUpdate","balancerOptimism"
"startAmp","BigInt","AmpUpdate","balancerOptimism"
"endAmp","BigInt","AmpUpdate","balancerOptimism"
"id","ID","Balancer","balancerOptimism"
"poolCount","Int","Balancer","balancerOptimism"
"pools","Unknown","Balancer","balancerOptimism"
"snapshots","Unknown","Balancer","balancerOptimism"
"totalLiquidity","BigDecimal","Balancer","balancerOptimism"
"totalSwapCount","BigInt","Balancer","balancerOptimism"
"totalSwapVolume","BigDecimal","Balancer","balancerOptimism"
"totalSwapFee","BigDecimal","Balancer","balancerOptimism"
"totalProtocolFee","BigDecimal","Balancer","balancerOptimism"
"protocolFeesCollector","Bytes","Balancer","balancerOptimism"
"id","ID","BalancerSnapshot","balancerOptimism"
"vault","Balancer","BalancerSnapshot","balancerOptimism"
"timestamp","Int","BalancerSnapshot","balancerOptimism"
"poolCount","Int","BalancerSnapshot","balancerOptimism"
"totalLiquidity","BigDecimal","BalancerSnapshot","balancerOptimism"
"totalSwapCount","BigInt","BalancerSnapshot","balancerOptimism"
"totalSwapVolume","BigDecimal","BalancerSnapshot","balancerOptimism"
"totalSwapFee","BigDecimal","BalancerSnapshot","balancerOptimism"
"totalProtocolFee","BigDecimal","BalancerSnapshot","balancerOptimism"
"id","ID","CircuitBreaker","balancerOptimism"
"pool","Pool","CircuitBreaker","balancerOptimism"
"token","PoolToken","CircuitBreaker","balancerOptimism"
"bptPrice","BigDecimal","CircuitBreaker","balancerOptimism"
"lowerBoundPercentage","BigDecimal","CircuitBreaker","balancerOptimism"
"upperBoundPercentage","BigDecimal","CircuitBreaker","balancerOptimism"
"id","ID","FXOracle","balancerOptimism"
"tokens","Unknown","FXOracle","balancerOptimism"
"divisor","String","FXOracle","balancerOptimism"
"decimals","Int","FXOracle","balancerOptimism"
"id","ID","GradualWeightUpdate","balancerOptimism"
"poolId","Pool","GradualWeightUpdate","balancerOptimism"
"scheduledTimestamp","Int","GradualWeightUpdate","balancerOptimism"
"startTimestamp","BigInt","GradualWeightUpdate","balancerOptimism"
"endTimestamp","BigInt","GradualWeightUpdate","balancerOptimism"
"startWeights","Unknown","GradualWeightUpdate","balancerOptimism"
"endWeights","Unknown","GradualWeightUpdate","balancerOptimism"
