Field Name,Type,Parent,Depth,API,Description
"id","ID","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"scheduledTimestamp","Int","null","0","balancerPolygon",""
"startTimestamp","BigInt","null","0","balancerPolygon",""
"endTimestamp","BigInt","null","0","balancerPolygon",""
"startAmp","BigInt","null","0","balancerPolygon",""
"endAmp","BigInt","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"poolCount","Int","null","0","balancerPolygon",""
"pools","Unknown","null","0","balancerPolygon",""
"snapshots","Unknown","null","0","balancerPolygon",""
"totalLiquidity","BigDecimal","null","0","balancerPolygon",""
"totalSwapCount","BigInt","null","0","balancerPolygon",""
"totalSwapVolume","BigDecimal","null","0","balancerPolygon",""
"totalSwapFee","BigDecimal","null","0","balancerPolygon",""
"totalProtocolFee","BigDecimal","null","0","balancerPolygon",""
"protocolFeesCollector","Bytes","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"vault","Balancer","null","0","balancerPolygon",""
"timestamp","Int","null","0","balancerPolygon",""
"poolCount","Int","null","0","balancerPolygon",""
"totalLiquidity","BigDecimal","null","0","balancerPolygon",""
"totalSwapCount","BigInt","null","0","balancerPolygon",""
"totalSwapVolume","BigDecimal","null","0","balancerPolygon",""
"totalSwapFee","BigDecimal","null","0","balancerPolygon",""
"totalProtocolFee","BigDecimal","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"pool","Pool","null","0","balancerPolygon",""
"token","PoolToken","null","0","balancerPolygon",""
"bptPrice","BigDecimal","null","0","balancerPolygon",""
"lowerBoundPercentage","BigDecimal","null","0","balancerPolygon",""
"upperBoundPercentage","BigDecimal","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"tokens","Unknown","null","0","balancerPolygon",""
"divisor","String","null","0","balancerPolygon",""
"decimals","Int","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"scheduledTimestamp","Int","null","0","balancerPolygon",""
