Field Name,Type,Parent,API
"id","ID","Account","undefined"
"id","ID","ActiveAccount","undefined"
"id","ID","Deposit","undefined"
"hash","String","Deposit","undefined"
"logIndex","Int","Deposit","undefined"
"protocol","DexAmmProtocol","Deposit","undefined"
"to","String","Deposit","undefined"
"from","String","Deposit","undefined"
"blockNumber","BigInt","Deposit","undefined"
"timestamp","BigInt","Deposit","undefined"
"inputTokens","Unknown","Deposit","undefined"
"outputToken","Token","Deposit","undefined"
"inputTokenAmounts","Unknown","Deposit","undefined"
"outputTokenAmount","BigInt","Deposit","undefined"
"amountUSD","BigDecimal","Deposit","undefined"
"pool","LiquidityPool","Deposit","undefined"
"id","ID","DexAmmProtocol","undefined"
"name","String","DexAmmProtocol","undefined"
"slug","String","DexAmmProtocol","undefined"
"schemaVersion","String","DexAmmProtocol","undefined"
"subgraphVersion","String","DexAmmProtocol","undefined"
"methodologyVersion","String","DexAmmProtocol","undefined"
"network","Network","DexAmmProtocol","undefined"
"type","ProtocolType","DexAmmProtocol","undefined"
"totalValueLockedUSD","BigDecimal","DexAmmProtocol","undefined"
"protocolControlledValueUSD","BigDecimal","DexAmmProtocol","undefined"
"cumulativeVolumeUSD","BigDecimal","DexAmmProtocol","undefined"
"cumulativeSupplySideRevenueUSD","BigDecimal","DexAmmProtocol","undefined"
"cumulativeProtocolSideRevenueUSD","BigDecimal","DexAmmProtocol","undefined"
"cumulativeTotalRevenueUSD","BigDecimal","DexAmmProtocol","undefined"
"cumulativeUniqueUsers","Int","DexAmmProtocol","undefined"
"totalPoolCount","Int","DexAmmProtocol","undefined"
"dailyUsageMetrics","Unknown","DexAmmProtocol","undefined"
"hourlyUsageMetrics","Unknown","DexAmmProtocol","undefined"
"financialMetrics","Unknown","DexAmmProtocol","undefined"
"pools","Unknown","DexAmmProtocol","undefined"
"_poolIds","Unknown","DexAmmProtocol","undefined"
"id","ID","Event","undefined"
"hash","String","Event","undefined"
"logIndex","Int","Event","undefined"
"protocol","DexAmmProtocol","Event","undefined"
"to","String","Event","undefined"
"from","String","Event","undefined"
"blockNumber","BigInt","Event","undefined"
"timestamp","BigInt","Event","undefined"
"id","ID","FinancialsDailySnapshot","undefined"
"protocol","DexAmmProtocol","FinancialsDailySnapshot","undefined"
"totalValueLockedUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"protocolControlledValueUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"dailyVolumeUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"cumulativeVolumeUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"dailySupplySideRevenueUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"cumulativeSupplySideRevenueUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"dailyProtocolSideRevenueUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"cumulativeProtocolSideRevenueUSD","BigDecimal","FinancialsDailySnapshot","undefined"
"dailyTotalRevenueUSD","BigDecimal","FinancialsDailySnapshot","undefined"
