Field Name,Type,Parent,Depth,API,Description
"id","ID","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"hash","String","null","0","curveAvalanche",""
"logIndex","Int","null","0","curveAvalanche",""
"protocol","DexAmmProtocol","null","0","curveAvalanche",""
"to","String","null","0","curveAvalanche",""
"from","String","null","0","curveAvalanche",""
"blockNumber","BigInt","null","0","curveAvalanche",""
"timestamp","BigInt","null","0","curveAvalanche",""
"inputTokens","Unknown","null","0","curveAvalanche",""
"outputToken","Token","null","0","curveAvalanche",""
"inputTokenAmounts","Unknown","null","0","curveAvalanche",""
"outputTokenAmount","BigInt","null","0","curveAvalanche",""
"amountUSD","BigDecimal","null","0","curveAvalanche",""
"pool","LiquidityPool","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"name","String","null","0","curveAvalanche",""
"slug","String","null","0","curveAvalanche",""
"schemaVersion","String","null","0","curveAvalanche",""
"subgraphVersion","String","null","0","curveAvalanche",""
"methodologyVersion","String","null","0","curveAvalanche",""
"network","Network","null","0","curveAvalanche",""
"type","ProtocolType","null","0","curveAvalanche",""
"totalValueLockedUSD","BigDecimal","null","0","curveAvalanche",""
"protocolControlledValueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeVolumeUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeSupplySideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeProtocolSideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeTotalRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeUniqueUsers","Int","null","0","curveAvalanche",""
"totalPoolCount","Int","null","0","curveAvalanche",""
"dailyUsageMetrics","Unknown","null","0","curveAvalanche",""
"hourlyUsageMetrics","Unknown","null","0","curveAvalanche",""
"financialMetrics","Unknown","null","0","curveAvalanche",""
"pools","Unknown","null","0","curveAvalanche",""
"_poolIds","Unknown","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"hash","String","null","0","curveAvalanche",""
"logIndex","Int","null","0","curveAvalanche",""
"protocol","DexAmmProtocol","null","0","curveAvalanche",""
"to","String","null","0","curveAvalanche",""
"from","String","null","0","curveAvalanche",""
"blockNumber","BigInt","null","0","curveAvalanche",""
"timestamp","BigInt","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"protocol","DexAmmProtocol","null","0","curveAvalanche",""
"totalValueLockedUSD","BigDecimal","null","0","curveAvalanche",""
"protocolControlledValueUSD","BigDecimal","null","0","curveAvalanche",""
"dailyVolumeUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeVolumeUSD","BigDecimal","null","0","curveAvalanche",""
"dailySupplySideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeSupplySideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"dailyProtocolSideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeProtocolSideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"dailyTotalRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeTotalRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"blockNumber","BigInt","null","0","curveAvalanche",""
"timestamp","BigInt","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"protocol","DexAmmProtocol","null","0","curveAvalanche",""
"name","String","null","0","curveAvalanche",""
"symbol","String","null","0","curveAvalanche",""
"inputTokens","Unknown","null","0","curveAvalanche",""
