Field Name,Type,Parent,API
"id","ID","Account","curveEthereum"
"id","ID","ActiveAccount","curveEthereum"
"id","ID","Deposit","curveEthereum"
"hash","String","Deposit","curveEthereum"
"logIndex","Int","Deposit","curveEthereum"
"protocol","DexAmmProtocol","Deposit","curveEthereum"
"to","String","Deposit","curveEthereum"
"from","String","Deposit","curveEthereum"
"blockNumber","BigInt","Deposit","curveEthereum"
"timestamp","BigInt","Deposit","curveEthereum"
"inputTokens","Unknown","Deposit","curveEthereum"
"outputToken","Token","Deposit","curveEthereum"
"inputTokenAmounts","Unknown","Deposit","curveEthereum"
"outputTokenAmount","BigInt","Deposit","curveEthereum"
"amountUSD","BigDecimal","Deposit","curveEthereum"
"pool","LiquidityPool","Deposit","curveEthereum"
"id","ID","DexAmmProtocol","curveEthereum"
"name","String","DexAmmProtocol","curveEthereum"
"slug","String","DexAmmProtocol","curveEthereum"
"schemaVersion","String","DexAmmProtocol","curveEthereum"
"subgraphVersion","String","DexAmmProtocol","curveEthereum"
"methodologyVersion","String","DexAmmProtocol","curveEthereum"
"network","Network","DexAmmProtocol","curveEthereum"
"type","ProtocolType","DexAmmProtocol","curveEthereum"
"totalValueLockedUSD","BigDecimal","DexAmmProtocol","curveEthereum"
"protocolControlledValueUSD","BigDecimal","DexAmmProtocol","curveEthereum"
"cumulativeVolumeUSD","BigDecimal","DexAmmProtocol","curveEthereum"
"cumulativeSupplySideRevenueUSD","BigDecimal","DexAmmProtocol","curveEthereum"
"cumulativeProtocolSideRevenueUSD","BigDecimal","DexAmmProtocol","curveEthereum"
"cumulativeTotalRevenueUSD","BigDecimal","DexAmmProtocol","curveEthereum"
"cumulativeUniqueUsers","Int","DexAmmProtocol","curveEthereum"
"totalPoolCount","Int","DexAmmProtocol","curveEthereum"
"dailyUsageMetrics","Unknown","DexAmmProtocol","curveEthereum"
"hourlyUsageMetrics","Unknown","DexAmmProtocol","curveEthereum"
"financialMetrics","Unknown","DexAmmProtocol","curveEthereum"
"pools","Unknown","DexAmmProtocol","curveEthereum"
"_poolIds","Unknown","DexAmmProtocol","curveEthereum"
"id","ID","Event","curveEthereum"
"hash","String","Event","curveEthereum"
"logIndex","Int","Event","curveEthereum"
"protocol","DexAmmProtocol","Event","curveEthereum"
"to","String","Event","curveEthereum"
"from","String","Event","curveEthereum"
"blockNumber","BigInt","Event","curveEthereum"
"timestamp","BigInt","Event","curveEthereum"
"id","ID","FinancialsDailySnapshot","curveEthereum"
"protocol","DexAmmProtocol","FinancialsDailySnapshot","curveEthereum"
"totalValueLockedUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"protocolControlledValueUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"dailyVolumeUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"cumulativeVolumeUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"dailySupplySideRevenueUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"cumulativeSupplySideRevenueUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"dailyProtocolSideRevenueUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"cumulativeProtocolSideRevenueUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"dailyTotalRevenueUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"cumulativeTotalRevenueUSD","BigDecimal","FinancialsDailySnapshot","curveEthereum"
"blockNumber","BigInt","FinancialsDailySnapshot","curveEthereum"
"timestamp","BigInt","FinancialsDailySnapshot","curveEthereum"
"id","ID","LiquidityPool","curveEthereum"
"protocol","DexAmmProtocol","LiquidityPool","curveEthereum"
"name","String","LiquidityPool","curveEthereum"
"symbol","String","LiquidityPool","curveEthereum"
"inputTokens","Unknown","LiquidityPool","curveEthereum"
"_inputTokensOrdered","Unknown","LiquidityPool","curveEthereum"
"outputToken","Token","LiquidityPool","curveEthereum"
"rewardTokens","Unknown","LiquidityPool","curveEthereum"
"fees","Unknown","LiquidityPool","curveEthereum"
"isSingleSided","Boolean","LiquidityPool","curveEthereum"
"createdTimestamp","BigInt","LiquidityPool","curveEthereum"
"createdBlockNumber","BigInt","LiquidityPool","curveEthereum"
"totalValueLockedUSD","BigDecimal","LiquidityPool","curveEthereum"
"_tvlUSDExcludingBasePoolLpTokens","BigDecimal","LiquidityPool","curveEthereum"
"cumulativeSupplySideRevenueUSD","BigDecimal","LiquidityPool","curveEthereum"
"cumulativeProtocolSideRevenueUSD","BigDecimal","LiquidityPool","curveEthereum"
"cumulativeTotalRevenueUSD","BigDecimal","LiquidityPool","curveEthereum"
"cumulativeVolumeUSD","BigDecimal","LiquidityPool","curveEthereum"
"inputTokenBalances","Unknown","LiquidityPool","curveEthereum"
"inputTokenWeights","Unknown","LiquidityPool","curveEthereum"
"outputTokenSupply","BigInt","LiquidityPool","curveEthereum"
