"id","ID","NON_NULL","quickswap","AlgebraDayData"
"date","Int","NON_NULL","quickswap","AlgebraDayData"
"volumeMatic","BigDecimal","NON_NULL","quickswap","AlgebraDayData"
"volumeUSD","BigDecimal","NON_NULL","quickswap","AlgebraDayData"
"volumeUSDUntracked","BigDecimal","NON_NULL","quickswap","AlgebraDayData"
"feesUSD","BigDecimal","NON_NULL","quickswap","AlgebraDayData"
"txCount","BigInt","NON_NULL","quickswap","AlgebraDayData"
"tvlUSD","BigDecimal","NON_NULL","quickswap","AlgebraDayData"
"id","ID","NON_NULL","quickswap","Bundle"
"maticPriceUSD","BigDecimal","NON_NULL","quickswap","Bundle"
"id","ID","NON_NULL","quickswap","Burn"
"transaction","Transaction","NON_NULL","quickswap","Burn"
"pool","Pool","NON_NULL","quickswap","Burn"
"token0","Token","NON_NULL","quickswap","Burn"
"token1","Token","NON_NULL","quickswap","Burn"
"timestamp","BigInt","NON_NULL","quickswap","Burn"
"owner","Bytes","SCALAR","quickswap","Burn"
"origin","Bytes","NON_NULL","quickswap","Burn"
"amount","BigInt","NON_NULL","quickswap","Burn"
"amount0","BigDecimal","NON_NULL","quickswap","Burn"
"amount1","BigDecimal","NON_NULL","quickswap","Burn"
"amountUSD","BigDecimal","SCALAR","quickswap","Burn"
"tickLower","BigInt","NON_NULL","quickswap","Burn"
"tickUpper","BigInt","NON_NULL","quickswap","Burn"
"logIndex","BigInt","SCALAR","quickswap","Burn"
"id","ID","NON_NULL","quickswap","Collect"
"transaction","Transaction","NON_NULL","quickswap","Collect"
"timestamp","BigInt","NON_NULL","quickswap","Collect"
"pool","Pool","NON_NULL","quickswap","Collect"
"owner","Bytes","SCALAR","quickswap","Collect"
"amount0","BigDecimal","NON_NULL","quickswap","Collect"
"amount1","BigDecimal","NON_NULL","quickswap","Collect"
"amountUSD","BigDecimal","SCALAR","quickswap","Collect"
"tickLower","BigInt","NON_NULL","quickswap","Collect"
"tickUpper","BigInt","NON_NULL","quickswap","Collect"
"logIndex","BigInt","SCALAR","quickswap","Collect"
"id","ID","NON_NULL","quickswap","Factory"
"poolCount","BigInt","NON_NULL","quickswap","Factory"
"txCount","BigInt","NON_NULL","quickswap","Factory"
"totalVolumeUSD","BigDecimal","NON_NULL","quickswap","Factory"
"totalVolumeMatic","BigDecimal","NON_NULL","quickswap","Factory"
"totalFeesUSD","BigDecimal","NON_NULL","quickswap","Factory"
"totalFeesMatic","BigDecimal","NON_NULL","quickswap","Factory"
"untrackedVolumeUSD","BigDecimal","NON_NULL","quickswap","Factory"
"totalValueLockedUSD","BigDecimal","NON_NULL","quickswap","Factory"
"totalValueLockedMatic","BigDecimal","NON_NULL","quickswap","Factory"
"totalValueLockedUSDUntracked","BigDecimal","NON_NULL","quickswap","Factory"
"totalValueLockedMaticUntracked","BigDecimal","NON_NULL","quickswap","Factory"
"owner","ID","NON_NULL","quickswap","Factory"
"id","ID","NON_NULL","quickswap","FeeHourData"
"pool","String","NON_NULL","quickswap","FeeHourData"
"fee","BigInt","NON_NULL","quickswap","FeeHourData"
"changesCount","BigInt","NON_NULL","quickswap","FeeHourData"
"timestamp","BigInt","NON_NULL","quickswap","FeeHourData"
"minFee","BigInt","NON_NULL","quickswap","FeeHourData"
"maxFee","BigInt","NON_NULL","quickswap","FeeHourData"
"startFee","BigInt","NON_NULL","quickswap","FeeHourData"
"endFee","BigInt","NON_NULL","quickswap","FeeHourData"
"id","ID","NON_NULL","quickswap","Flash"
"transaction","Transaction","NON_NULL","quickswap","Flash"
"timestamp","BigInt","NON_NULL","quickswap","Flash"
"pool","Pool","NON_NULL","quickswap","Flash"
"sender","Bytes","NON_NULL","quickswap","Flash"
"recipient","Bytes","NON_NULL","quickswap","Flash"
"amount0","BigDecimal","NON_NULL","quickswap","Flash"
"amount1","BigDecimal","NON_NULL","quickswap","Flash"
"amountUSD","BigDecimal","NON_NULL","quickswap","Flash"
"amount0Paid","BigDecimal","NON_NULL","quickswap","Flash"
"amount1Paid","BigDecimal","NON_NULL","quickswap","Flash"
"logIndex","BigInt","SCALAR","quickswap","Flash"
"id","ID","NON_NULL","quickswap","Mint"
"transaction","Transaction","NON_NULL","quickswap","Mint"
"timestamp","BigInt","NON_NULL","quickswap","Mint"
"pool","Pool","NON_NULL","quickswap","Mint"
"token0","Token","NON_NULL","quickswap","Mint"
"token1","Token","NON_NULL","quickswap","Mint"
"owner","Bytes","NON_NULL","quickswap","Mint"
"sender","Bytes","SCALAR","quickswap","Mint"
"origin","Bytes","NON_NULL","quickswap","Mint"
"amount","BigInt","NON_NULL","quickswap","Mint"
"amount0","BigDecimal","NON_NULL","quickswap","Mint"
"amount1","BigDecimal","NON_NULL","quickswap","Mint"
"amountUSD","BigDecimal","SCALAR","quickswap","Mint"
"tickLower","BigInt","NON_NULL","quickswap","Mint"
