Field Name,Type,Parent,Depth,API,Description
"id","ID","null","0","quickswap",""
"date","Int","null","0","quickswap",""
"volumeMatic","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"volumeUSDUntracked","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"txCount","BigInt","null","0","quickswap",""
"tvlUSD","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"maticPriceUSD","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"token0","Token","null","0","quickswap",""
"token1","Token","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"owner","Bytes","null","0","quickswap",""
"origin","Bytes","null","0","quickswap",""
"amount","BigInt","null","0","quickswap",""
"amount0","BigDecimal","null","0","quickswap",""
"amount1","BigDecimal","null","0","quickswap",""
"amountUSD","BigDecimal","null","0","quickswap",""
"tickLower","BigInt","null","0","quickswap",""
"tickUpper","BigInt","null","0","quickswap",""
"logIndex","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"owner","Bytes","null","0","quickswap",""
"amount0","BigDecimal","null","0","quickswap",""
"amount1","BigDecimal","null","0","quickswap",""
"amountUSD","BigDecimal","null","0","quickswap",""
"tickLower","BigInt","null","0","quickswap",""
"tickUpper","BigInt","null","0","quickswap",""
"logIndex","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"poolCount","BigInt","null","0","quickswap",""
"txCount","BigInt","null","0","quickswap",""
"totalVolumeUSD","BigDecimal","null","0","quickswap",""
"totalVolumeMatic","BigDecimal","null","0","quickswap",""
"totalFeesUSD","BigDecimal","null","0","quickswap",""
"totalFeesMatic","BigDecimal","null","0","quickswap",""
"untrackedVolumeUSD","BigDecimal","null","0","quickswap",""
"totalValueLockedUSD","BigDecimal","null","0","quickswap",""
"totalValueLockedMatic","BigDecimal","null","0","quickswap",""
"totalValueLockedUSDUntracked","BigDecimal","null","0","quickswap",""
"totalValueLockedMaticUntracked","BigDecimal","null","0","quickswap",""
"owner","ID","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"pool","String","null","0","quickswap",""
"fee","BigInt","null","0","quickswap",""
"changesCount","BigInt","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"minFee","BigInt","null","0","quickswap",""
"maxFee","BigInt","null","0","quickswap",""
"startFee","BigInt","null","0","quickswap",""
"endFee","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"sender","Bytes","null","0","quickswap",""
"recipient","Bytes","null","0","quickswap",""
"amount0","BigDecimal","null","0","quickswap",""
"amount1","BigDecimal","null","0","quickswap",""
"amountUSD","BigDecimal","null","0","quickswap",""
"amount0Paid","BigDecimal","null","0","quickswap",""
"amount1Paid","BigDecimal","null","0","quickswap",""
"logIndex","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"transaction","Transaction","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
"token0","Token","null","0","quickswap",""
"token1","Token","null","0","quickswap",""
"owner","Bytes","null","0","quickswap",""
"sender","Bytes","null","0","quickswap",""
"origin","Bytes","null","0","quickswap",""
"amount","BigInt","null","0","quickswap",""
"amount0","BigDecimal","null","0","quickswap",""
"amount1","BigDecimal","null","0","quickswap",""
"amountUSD","BigDecimal","null","0","quickswap",""
"tickLower","BigInt","null","0","quickswap",""
"tickUpper","BigInt","null","0","quickswap",""
"logIndex","BigInt","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"createdAtTimestamp","BigInt","null","0","quickswap",""
"createdAtBlockNumber","BigInt","null","0","quickswap",""
"token0","Token","null","0","quickswap",""
"token1","Token","null","0","quickswap",""
"fee","BigInt","null","0","quickswap",""
"communityFee0","BigInt","null","0","quickswap",""
"communityFee1","BigInt","null","0","quickswap",""
"liquidity","BigInt","null","0","quickswap",""
"sqrtPrice","BigInt","null","0","quickswap",""
"feeGrowthGlobal0X128","BigInt","null","0","quickswap",""
"feeGrowthGlobal1X128","BigInt","null","0","quickswap",""
"token0Price","BigDecimal","null","0","quickswap",""
"token1Price","BigDecimal","null","0","quickswap",""
"tick","BigInt","null","0","quickswap",""
"observationIndex","BigInt","null","0","quickswap",""
"volumeToken0","BigDecimal","null","0","quickswap",""
"volumeToken1","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"untrackedVolumeUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"untrackedFeesUSD","BigDecimal","null","0","quickswap",""
"txCount","BigInt","null","0","quickswap",""
"collectedFeesToken0","BigDecimal","null","0","quickswap",""
"collectedFeesToken1","BigDecimal","null","0","quickswap",""
"collectedFeesUSD","BigDecimal","null","0","quickswap",""
"totalValueLockedToken0","BigDecimal","null","0","quickswap",""
"totalValueLockedToken1","BigDecimal","null","0","quickswap",""
"feesToken0","BigDecimal","null","0","quickswap",""
"feesToken1","BigDecimal","null","0","quickswap",""
"totalValueLockedMatic","BigDecimal","null","0","quickswap",""
"totalValueLockedUSD","BigDecimal","null","0","quickswap",""
"totalValueLockedUSDUntracked","BigDecimal","null","0","quickswap",""
"liquidityProviderCount","BigInt","null","0","quickswap",""
"poolHourData","Unknown","null","0","quickswap",""
"poolDayData","Unknown","null","0","quickswap",""
"mints","Unknown","null","0","quickswap",""
"burns","Unknown","null","0","quickswap",""
"swaps","Unknown","null","0","quickswap",""
"collects","Unknown","null","0","quickswap",""
"ticks","Unknown","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"date","Int","null","0","quickswap",""
"pool","Pool","null","0","quickswap",""
