Field Name,Type,Parent,Depth,API,Description
"id","Bytes","null","0","sushiswap",""
"positionCount","Int","null","0","sushiswap",""
"positions","Unknown","null","0","sushiswap",""
"openPositionCount","Int","null","0","sushiswap",""
"closedPositionCount","Int","null","0","sushiswap",""
"depositCount","Int","null","0","sushiswap",""
"deposits","Unknown","null","0","sushiswap",""
"withdrawCount","Int","null","0","sushiswap",""
"withdraws","Unknown","null","0","sushiswap",""
"swapCount","Int","null","0","sushiswap",""
"swaps","Unknown","null","0","sushiswap",""
"id","Bytes","null","0","sushiswap",""
"id","Bytes","null","0","sushiswap",""
"hash","Bytes","null","0","sushiswap",""
"nonce","BigInt","null","0","sushiswap",""
"logIndex","Int","null","0","sushiswap",""
"gasLimit","BigInt","null","0","sushiswap",""
"gasUsed","BigInt","null","0","sushiswap",""
"gasPrice","BigInt","null","0","sushiswap",""
"protocol","DexAmmProtocol","null","0","sushiswap",""
"account","Account","null","0","sushiswap",""
"position","Position","null","0","sushiswap",""
"pool","LiquidityPool","null","0","sushiswap",""
"tickLower","BigInt","null","0","sushiswap",""
"tickUpper","BigInt","null","0","sushiswap",""
"blockNumber","BigInt","null","0","sushiswap",""
"timestamp","BigInt","null","0","sushiswap",""
"liquidity","BigInt","null","0","sushiswap",""
"inputTokens","Unknown","null","0","sushiswap",""
"inputTokenAmounts","Unknown","null","0","sushiswap",""
"reserveAmounts","Unknown","null","0","sushiswap",""
"amountUSD","BigDecimal","null","0","sushiswap",""
"id","Bytes","null","0","sushiswap",""
"name","String","null","0","sushiswap",""
"slug","String","null","0","sushiswap",""
"schemaVersion","String","null","0","sushiswap",""
"subgraphVersion","String","null","0","sushiswap",""
"methodologyVersion","String","null","0","sushiswap",""
"network","Network","null","0","sushiswap",""
"type","ProtocolType","null","0","sushiswap",""
"totalValueLockedUSD","BigDecimal","null","0","sushiswap",""
"totalLiquidityUSD","BigDecimal","null","0","sushiswap",""
"activeLiquidityUSD","BigDecimal","null","0","sushiswap",""
"uncollectedProtocolSideValueUSD","BigDecimal","null","0","sushiswap",""
"uncollectedSupplySideValueUSD","BigDecimal","null","0","sushiswap",""
"protocolControlledValueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeVolumeUSD","BigDecimal","null","0","sushiswap",""
"cumulativeSupplySideRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeProtocolSideRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeTotalRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeUniqueUsers","Int","null","0","sushiswap",""
"cumulativeUniqueLPs","Int","null","0","sushiswap",""
"cumulativeUniqueTraders","Int","null","0","sushiswap",""
"totalPoolCount","Int","null","0","sushiswap",""
"openPositionCount","Int","null","0","sushiswap",""
"cumulativePositionCount","Int","null","0","sushiswap",""
"lastSnapshotDayID","Int","null","0","sushiswap",""
"lastUpdateTimestamp","BigInt","null","0","sushiswap",""
"lastUpdateBlockNumber","BigInt","null","0","sushiswap",""
"dailyUsageMetrics","Unknown","null","0","sushiswap",""
"hourlyUsageMetrics","Unknown","null","0","sushiswap",""
"financialMetrics","Unknown","null","0","sushiswap",""
"pools","Unknown","null","0","sushiswap",""
"_regenesis","Boolean","null","0","sushiswap",""
"id","Bytes","null","0","sushiswap",""
"day","Int","null","0","sushiswap",""
"protocol","DexAmmProtocol","null","0","sushiswap",""
"totalValueLockedUSD","BigDecimal","null","0","sushiswap",""
"totalLiquidityUSD","BigDecimal","null","0","sushiswap",""
"activeLiquidityUSD","BigDecimal","null","0","sushiswap",""
"uncollectedProtocolSideValueUSD","BigDecimal","null","0","sushiswap",""
"uncollectedSupplySideValueUSD","BigDecimal","null","0","sushiswap",""
"protocolControlledValueUSD","BigDecimal","null","0","sushiswap",""
"dailyVolumeUSD","BigDecimal","null","0","sushiswap",""
"cumulativeVolumeUSD","BigDecimal","null","0","sushiswap",""
"dailySupplySideRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeSupplySideRevenueUSD","BigDecimal","null","0","sushiswap",""
"dailyProtocolSideRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeProtocolSideRevenueUSD","BigDecimal","null","0","sushiswap",""
"dailyTotalRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeTotalRevenueUSD","BigDecimal","null","0","sushiswap",""
"timestamp","BigInt","null","0","sushiswap",""
"blockNumber","BigInt","null","0","sushiswap",""
"id","Bytes","null","0","sushiswap",""
"protocol","DexAmmProtocol","null","0","sushiswap",""
"name","String","null","0","sushiswap",""
"symbol","String","null","0","sushiswap",""
"liquidityToken","Token","null","0","sushiswap",""
"liquidityTokenType","TokenType","null","0","sushiswap",""
"inputTokens","Unknown","null","0","sushiswap",""
"rewardTokens","Unknown","null","0","sushiswap",""
"fees","Unknown","null","0","sushiswap",""
"isSingleSided","Boolean","null","0","sushiswap",""
"createdTimestamp","BigInt","null","0","sushiswap",""
"createdBlockNumber","BigInt","null","0","sushiswap",""
"tick","BigInt","null","0","sushiswap",""
"totalValueLockedUSD","BigDecimal","null","0","sushiswap",""
"totalLiquidity","BigInt","null","0","sushiswap",""
"totalLiquidityUSD","BigDecimal","null","0","sushiswap",""
"activeLiquidity","BigInt","null","0","sushiswap",""
"activeLiquidityUSD","BigDecimal","null","0","sushiswap",""
"uncollectedProtocolSideTokenAmounts","Unknown","null","0","sushiswap",""
"uncollectedProtocolSideValuesUSD","Unknown","null","0","sushiswap",""
"uncollectedSupplySideTokenAmounts","Unknown","null","0","sushiswap",""
"uncollectedSupplySideValuesUSD","Unknown","null","0","sushiswap",""
"cumulativeSupplySideRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeProtocolSideRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeTotalRevenueUSD","BigDecimal","null","0","sushiswap",""
"cumulativeVolumeByTokenAmount","Unknown","null","0","sushiswap",""
"cumulativeVolumeByTokenUSD","Unknown","null","0","sushiswap",""
"cumulativeVolumeUSD","BigDecimal","null","0","sushiswap",""
"inputTokenBalances","Unknown","null","0","sushiswap",""
"inputTokenBalancesUSD","Unknown","null","0","sushiswap",""
"inputTokenWeights","Unknown","null","0","sushiswap",""
"stakedOutputTokenAmount","BigInt","null","0","sushiswap",""
"rewardTokenEmissionsAmount","Unknown","null","0","sushiswap",""
"rewardTokenEmissionsUSD","Unknown","null","0","sushiswap",""
"cumulativeDepositCount","Int","null","0","sushiswap",""
"cumulativeWithdrawCount","Int","null","0","sushiswap",""
