Type,Field,Description,FieldType,FieldKind
Factory,id,,ID,NON_NULL
Factory,poolCount,,BigInt,NON_NULL
Factory,txCount,,BigInt,NON_NULL
Factory,totalVolumeUSD,,BigDecimal,NON_NULL
Factory,totalVolumeETH,,BigDecimal,NON_NULL
Factory,totalFeesUSD,,BigDecimal,NON_NULL
Factory,totalFeesETH,,BigDecimal,NON_NULL
Factory,untrackedVolumeUSD,,BigDecimal,NON_NULL
Factory,totalValueLockedUSD,,BigDecimal,NON_NULL
Factory,totalValueLockedETH,,BigDecimal,NON_NULL
Factory,totalValueLockedUSDUntracked,,BigDecimal,NON_NULL
Factory,totalValueLockedETHUntracked,,BigDecimal,NON_NULL
Factory,owner,,ID,NON_NULL
