Type,Field,Description,FieldType,FieldKind
Mint,id,,ID,NON_NULL
Mint,transaction,,Transaction,NON_NULL
Mint,timestamp,,BigInt,NON_NULL
Mint,pool,,Pool,NON_NULL
Mint,token0,,Token,NON_NULL
Mint,token1,,Token,NON_NULL
Mint,owner,,Bytes,NON_NULL
Mint,sender,,Bytes,SCALAR
Mint,origin,,Bytes,NON_NULL
Mint,amount,,BigInt,NON_NULL
Mint,amount0,,BigDecimal,NON_NULL
Mint,amount1,,BigDecimal,NON_NULL
Mint,amountUSD,,BigDecimal,SCALAR
Mint,tickLower,,BigInt,NON_NULL
Mint,tickUpper,,BigInt,NON_NULL
Mint,logIndex,,BigInt,SCALAR
