Type,Field,Description,FieldType,FieldKind
Pool,id,,ID,NON_NULL
Pool,createdAtTimestamp,,BigInt,NON_NULL
Pool,createdAtBlockNumber,,BigInt,NON_NULL
Pool,token0,,Token,NON_NULL
Pool,token1,,Token,NON_NULL
Pool,feeTier,,BigInt,NON_NULL
Pool,liquidity,,BigInt,NON_NULL
Pool,sqrtPrice,,BigInt,NON_NULL
Pool,feeGrowthGlobal0X128,,BigInt,NON_NULL
Pool,feeGrowthGlobal1X128,,BigInt,NON_NULL
Pool,token0Price,,BigDecimal,NON_NULL
Pool,token1Price,,BigDecimal,NON_NULL
Pool,tick,,BigInt,SCALAR
Pool,observationIndex,,BigInt,NON_NULL
Pool,volumeToken0,,BigDecimal,NON_NULL
Pool,volumeToken1,,BigDecimal,NON_NULL
Pool,volumeUSD,,BigDecimal,NON_NULL
Pool,untrackedVolumeUSD,,BigDecimal,NON_NULL
Pool,feesUSD,,BigDecimal,NON_NULL
Pool,txCount,,BigInt,NON_NULL
Pool,collectedFeesToken0,,BigDecimal,NON_NULL
Pool,collectedFeesToken1,,BigDecimal,NON_NULL
Pool,collectedFeesUSD,,BigDecimal,NON_NULL
Pool,totalValueLockedToken0,,BigDecimal,NON_NULL
Pool,totalValueLockedToken1,,BigDecimal,NON_NULL
Pool,totalValueLockedETH,,BigDecimal,NON_NULL
Pool,totalValueLockedUSD,,BigDecimal,NON_NULL
Pool,totalValueLockedUSDUntracked,,BigDecimal,NON_NULL
Pool,liquidityProviderCount,,BigInt,NON_NULL
Pool,poolHourData,,Unknown,NON_NULL
Pool,poolDayData,,Unknown,NON_NULL
Pool,mints,,Unknown,NON_NULL
Pool,burns,,Unknown,NON_NULL
Pool,swaps,,Unknown,NON_NULL
Pool,collects,,Unknown,NON_NULL
Pool,ticks,,Unknown,NON_NULL
