Type,Field,Description,FieldType,FieldKind
PoolDayData,id,,ID,NON_NULL
PoolDayData,date,,Int,NON_NULL
PoolDayData,pool,,Pool,NON_NULL
PoolDayData,liquidity,,BigInt,NON_NULL
PoolDayData,sqrtPrice,,BigInt,NON_NULL
PoolDayData,token0Price,,BigDecimal,NON_NULL
PoolDayData,token1Price,,BigDecimal,NON_NULL
PoolDayData,tick,,BigInt,SCALAR
PoolDayData,feeGrowthGlobal0X128,,BigInt,NON_NULL
PoolDayData,feeGrowthGlobal1X128,,BigInt,NON_NULL
PoolDayData,tvlUSD,,BigDecimal,NON_NULL
PoolDayData,volumeToken0,,BigDecimal,NON_NULL
PoolDayData,volumeToken1,,BigDecimal,NON_NULL
PoolDayData,volumeUSD,,BigDecimal,NON_NULL
PoolDayData,feesUSD,,BigDecimal,NON_NULL
PoolDayData,txCount,,BigInt,NON_NULL
PoolDayData,open,,BigDecimal,NON_NULL
PoolDayData,high,,BigDecimal,NON_NULL
PoolDayData,low,,BigDecimal,NON_NULL
PoolDayData,close,,BigDecimal,NON_NULL
