Type,Field,Description,FieldType,FieldKind
PoolHourData,id,,ID,NON_NULL
PoolHourData,periodStartUnix,,Int,NON_NULL
PoolHourData,pool,,Pool,NON_NULL
PoolHourData,liquidity,,BigInt,NON_NULL
PoolHourData,sqrtPrice,,BigInt,NON_NULL
PoolHourData,token0Price,,BigDecimal,NON_NULL
PoolHourData,token1Price,,BigDecimal,NON_NULL
PoolHourData,tick,,BigInt,SCALAR
PoolHourData,feeGrowthGlobal0X128,,BigInt,NON_NULL
PoolHourData,feeGrowthGlobal1X128,,BigInt,NON_NULL
PoolHourData,tvlUSD,,BigDecimal,NON_NULL
PoolHourData,volumeToken0,,BigDecimal,NON_NULL
PoolHourData,volumeToken1,,BigDecimal,NON_NULL
PoolHourData,volumeUSD,,BigDecimal,NON_NULL
PoolHourData,feesUSD,,BigDecimal,NON_NULL
PoolHourData,txCount,,BigInt,NON_NULL
PoolHourData,open,,BigDecimal,NON_NULL
PoolHourData,high,,BigDecimal,NON_NULL
PoolHourData,low,,BigDecimal,NON_NULL
PoolHourData,close,,BigDecimal,NON_NULL
