Type,Field,Description,FieldType,FieldKind
Position,id,,ID,NON_NULL
Position,owner,,Bytes,NON_NULL
Position,pool,,Pool,NON_NULL
Position,token0,,Token,NON_NULL
Position,token1,,Token,NON_NULL
Position,tickLower,,Tick,NON_NULL
Position,tickUpper,,Tick,NON_NULL
Position,liquidity,,BigInt,NON_NULL
Position,depositedToken0,,BigDecimal,NON_NULL
Position,depositedToken1,,BigDecimal,NON_NULL
Position,withdrawnToken0,,BigDecimal,NON_NULL
Position,withdrawnToken1,,BigDecimal,NON_NULL
Position,collectedFeesToken0,,BigDecimal,NON_NULL
Position,collectedFeesToken1,,BigDecimal,NON_NULL
Position,transaction,,Transaction,NON_NULL
Position,feeGrowthInside0LastX128,,BigInt,NON_NULL
Position,feeGrowthInside1LastX128,,BigInt,NON_NULL
