Type,Field,Description,FieldType,FieldKind
PositionSnapshot,id,,ID,NON_NULL
PositionSnapshot,owner,,Bytes,NON_NULL
PositionSnapshot,pool,,Pool,NON_NULL
PositionSnapshot,position,,Position,NON_NULL
PositionSnapshot,blockNumber,,BigInt,NON_NULL
PositionSnapshot,timestamp,,BigInt,NON_NULL
PositionSnapshot,liquidity,,BigInt,NON_NULL
PositionSnapshot,depositedToken0,,BigDecimal,NON_NULL
PositionSnapshot,depositedToken1,,BigDecimal,NON_NULL
PositionSnapshot,withdrawnToken0,,BigDecimal,NON_NULL
PositionSnapshot,withdrawnToken1,,BigDecimal,NON_NULL
PositionSnapshot,collectedFeesToken0,,BigDecimal,NON_NULL
PositionSnapshot,collectedFeesToken1,,BigDecimal,NON_NULL
PositionSnapshot,transaction,,Transaction,NON_NULL
PositionSnapshot,feeGrowthInside0LastX128,,BigInt,NON_NULL
PositionSnapshot,feeGrowthInside1LastX128,,BigInt,NON_NULL
