Type,Field,Description,FieldType,FieldKind
Query,factory,,Factory,OBJECT
Query,factories,,Unknown,NON_NULL
Query,bundle,,Bundle,OBJECT
Query,bundles,,Unknown,NON_NULL
Query,token,,Token,OBJECT
Query,tokens,,Unknown,NON_NULL
Query,pool,,Pool,OBJECT
Query,pools,,Unknown,NON_NULL
Query,tick,,Tick,OBJECT
Query,ticks,,Unknown,NON_NULL
Query,position,,Position,OBJECT
Query,positions,,Unknown,NON_NULL
Query,positionSnapshot,,PositionSnapshot,OBJECT
Query,positionSnapshots,,Unknown,NON_NULL
Query,transaction,,Transaction,OBJECT
Query,transactions,,Unknown,NON_NULL
Query,mint,,Mint,OBJECT
Query,mints,,Unknown,NON_NULL
Query,burn,,Burn,OBJECT
Query,burns,,Unknown,NON_NULL
Query,swap,,Swap,OBJECT
Query,swaps,,Unknown,NON_NULL
Query,collect,,Collect,OBJECT
Query,collects,,Unknown,NON_NULL
Query,flash,,Flash,OBJECT
Query,flashes,,Unknown,NON_NULL
Query,uniswapDayData,,UniswapDayData,OBJECT
Query,uniswapDayDatas,,Unknown,NON_NULL
Query,poolDayData,,PoolDayData,OBJECT
Query,poolDayDatas,,Unknown,NON_NULL
Query,poolHourData,,PoolHourData,OBJECT
Query,poolHourDatas,,Unknown,NON_NULL
Query,tickHourData,,TickHourData,OBJECT
Query,tickHourDatas,,Unknown,NON_NULL
Query,tickDayData,,TickDayData,OBJECT
Query,tickDayDatas,,Unknown,NON_NULL
Query,tokenDayData,,TokenDayData,OBJECT
Query,tokenDayDatas,,Unknown,NON_NULL
Query,tokenHourData,,TokenHourData,OBJECT
Query,tokenHourDatas,,Unknown,NON_NULL
Query,_meta,Access to subgraph metadata,_Meta_,OBJECT
