Type,Field,Description,FieldType,FieldKind
Subscription,factory,,Factory,OBJECT
Subscription,factories,,Unknown,NON_NULL
Subscription,bundle,,Bundle,OBJECT
Subscription,bundles,,Unknown,NON_NULL
Subscription,token,,Token,OBJECT
Subscription,tokens,,Unknown,NON_NULL
Subscription,pool,,Pool,OBJECT
Subscription,pools,,Unknown,NON_NULL
Subscription,tick,,Tick,OBJECT
Subscription,ticks,,Unknown,NON_NULL
Subscription,position,,Position,OBJECT
Subscription,positions,,Unknown,NON_NULL
Subscription,positionSnapshot,,PositionSnapshot,OBJECT
Subscription,positionSnapshots,,Unknown,NON_NULL
Subscription,transaction,,Transaction,OBJECT
Subscription,transactions,,Unknown,NON_NULL
Subscription,mint,,Mint,OBJECT
Subscription,mints,,Unknown,NON_NULL
Subscription,burn,,Burn,OBJECT
Subscription,burns,,Unknown,NON_NULL
Subscription,swap,,Swap,OBJECT
Subscription,swaps,,Unknown,NON_NULL
Subscription,collect,,Collect,OBJECT
Subscription,collects,,Unknown,NON_NULL
Subscription,flash,,Flash,OBJECT
Subscription,flashes,,Unknown,NON_NULL
Subscription,uniswapDayData,,UniswapDayData,OBJECT
Subscription,uniswapDayDatas,,Unknown,NON_NULL
Subscription,poolDayData,,PoolDayData,OBJECT
Subscription,poolDayDatas,,Unknown,NON_NULL
Subscription,poolHourData,,PoolHourData,OBJECT
Subscription,poolHourDatas,,Unknown,NON_NULL
Subscription,tickHourData,,TickHourData,OBJECT
Subscription,tickHourDatas,,Unknown,NON_NULL
Subscription,tickDayData,,TickDayData,OBJECT
Subscription,tickDayDatas,,Unknown,NON_NULL
Subscription,tokenDayData,,TokenDayData,OBJECT
Subscription,tokenDayDatas,,Unknown,NON_NULL
Subscription,tokenHourData,,TokenHourData,OBJECT
Subscription,tokenHourDatas,,Unknown,NON_NULL
Subscription,_meta,Access to subgraph metadata,_Meta_,OBJECT
