Type,Field,Description,FieldType,FieldKind
Tick,id,,ID,NON_NULL
Tick,poolAddress,,String,SCALAR
Tick,tickIdx,,BigInt,NON_NULL
Tick,pool,,Pool,NON_NULL
Tick,liquidityGross,,BigInt,NON_NULL
Tick,liquidityNet,,BigInt,NON_NULL
Tick,price0,,BigDecimal,NON_NULL
Tick,price1,,BigDecimal,NON_NULL
Tick,volumeToken0,,BigDecimal,NON_NULL
Tick,volumeToken1,,BigDecimal,NON_NULL
Tick,volumeUSD,,BigDecimal,NON_NULL
Tick,untrackedVolumeUSD,,BigDecimal,NON_NULL
Tick,feesUSD,,BigDecimal,NON_NULL
Tick,collectedFeesToken0,,BigDecimal,NON_NULL
Tick,collectedFeesToken1,,BigDecimal,NON_NULL
Tick,collectedFeesUSD,,BigDecimal,NON_NULL
Tick,createdAtTimestamp,,BigInt,NON_NULL
Tick,createdAtBlockNumber,,BigInt,NON_NULL
Tick,liquidityProviderCount,,BigInt,NON_NULL
Tick,feeGrowthOutside0X128,,BigInt,NON_NULL
Tick,feeGrowthOutside1X128,,BigInt,NON_NULL
