Type,Field,Description,FieldType,FieldKind
TickDayData,id,,ID,NON_NULL
TickDayData,date,,Int,NON_NULL
TickDayData,pool,,Pool,NON_NULL
TickDayData,tick,,Tick,NON_NULL
TickDayData,liquidityGross,,BigInt,NON_NULL
TickDayData,liquidityNet,,BigInt,NON_NULL
TickDayData,volumeToken0,,BigDecimal,NON_NULL
TickDayData,volumeToken1,,BigDecimal,NON_NULL
TickDayData,volumeUSD,,BigDecimal,NON_NULL
TickDayData,feesUSD,,BigDecimal,NON_NULL
TickDayData,feeGrowthOutside0X128,,BigInt,NON_NULL
TickDayData,feeGrowthOutside1X128,,BigInt,NON_NULL
