Type,Field,Description,FieldType,FieldKind
Token,id,,ID,NON_NULL
Token,symbol,,String,NON_NULL
Token,name,,String,NON_NULL
Token,decimals,,BigInt,NON_NULL
Token,totalSupply,,BigInt,NON_NULL
Token,volume,,BigDecimal,NON_NULL
Token,volumeUSD,,BigDecimal,NON_NULL
Token,untrackedVolumeUSD,,BigDecimal,NON_NULL
Token,feesUSD,,BigDecimal,NON_NULL
Token,txCount,,BigInt,NON_NULL
Token,poolCount,,BigInt,NON_NULL
Token,totalValueLocked,,BigDecimal,NON_NULL
Token,totalValueLockedUSD,,BigDecimal,NON_NULL
Token,totalValueLockedUSDUntracked,,BigDecimal,NON_NULL
Token,derivedETH,,BigDecimal,NON_NULL
Token,whitelistPools,,Unknown,NON_NULL
Token,tokenDayData,,Unknown,NON_NULL
