Type,Field,Description,FieldType,FieldKind
TokenHourData,id,,ID,NON_NULL
TokenHourData,periodStartUnix,,Int,NON_NULL
TokenHourData,token,,Token,NON_NULL
TokenHourData,volume,,BigDecimal,NON_NULL
TokenHourData,volumeUSD,,BigDecimal,NON_NULL
TokenHourData,untrackedVolumeUSD,,BigDecimal,NON_NULL
TokenHourData,totalValueLocked,,BigDecimal,NON_NULL
TokenHourData,totalValueLockedUSD,,BigDecimal,NON_NULL
TokenHourData,priceUSD,,BigDecimal,NON_NULL
TokenHourData,feesUSD,,BigDecimal,NON_NULL
TokenHourData,open,,BigDecimal,NON_NULL
TokenHourData,high,,BigDecimal,NON_NULL
TokenHourData,low,,BigDecimal,NON_NULL
TokenHourData,close,,BigDecimal,NON_NULL
