Field Name,Type,Parent,API
"id","ID","Bundle","uniswap"
"ethPriceUSD","BigDecimal","Bundle","uniswap"
"id","ID","Burn","uniswap"
"transaction","Transaction","Burn","uniswap"
"pool","Pool","Burn","uniswap"
"token0","Token","Burn","uniswap"
"token1","Token","Burn","uniswap"
"timestamp","BigInt","Burn","uniswap"
"owner","Bytes","Burn","uniswap"
"origin","Bytes","Burn","uniswap"
"amount","BigInt","Burn","uniswap"
"amount0","BigDecimal","Burn","uniswap"
"amount1","BigDecimal","Burn","uniswap"
"amountUSD","BigDecimal","Burn","uniswap"
"tickLower","BigInt","Burn","uniswap"
"tickUpper","BigInt","Burn","uniswap"
"logIndex","BigInt","Burn","uniswap"
"id","ID","Collect","uniswap"
"transaction","Transaction","Collect","uniswap"
"timestamp","BigInt","Collect","uniswap"
"pool","Pool","Collect","uniswap"
"owner","Bytes","Collect","uniswap"
"amount0","BigDecimal","Collect","uniswap"
"amount1","BigDecimal","Collect","uniswap"
"amountUSD","BigDecimal","Collect","uniswap"
"tickLower","BigInt","Collect","uniswap"
"tickUpper","BigInt","Collect","uniswap"
"logIndex","BigInt","Collect","uniswap"
"id","ID","Factory","uniswap"
"poolCount","BigInt","Factory","uniswap"
"txCount","BigInt","Factory","uniswap"
"totalVolumeUSD","BigDecimal","Factory","uniswap"
"totalVolumeETH","BigDecimal","Factory","uniswap"
"totalFeesUSD","BigDecimal","Factory","uniswap"
"totalFeesETH","BigDecimal","Factory","uniswap"
"untrackedVolumeUSD","BigDecimal","Factory","uniswap"
"totalValueLockedUSD","BigDecimal","Factory","uniswap"
"totalValueLockedETH","BigDecimal","Factory","uniswap"
"totalValueLockedUSDUntracked","BigDecimal","Factory","uniswap"
"totalValueLockedETHUntracked","BigDecimal","Factory","uniswap"
"owner","ID","Factory","uniswap"
"id","ID","Flash","uniswap"
"transaction","Transaction","Flash","uniswap"
"timestamp","BigInt","Flash","uniswap"
"pool","Pool","Flash","uniswap"
"sender","Bytes","Flash","uniswap"
"recipient","Bytes","Flash","uniswap"
"amount0","BigDecimal","Flash","uniswap"
"amount1","BigDecimal","Flash","uniswap"
"amountUSD","BigDecimal","Flash","uniswap"
"amount0Paid","BigDecimal","Flash","uniswap"
"amount1Paid","BigDecimal","Flash","uniswap"
"logIndex","BigInt","Flash","uniswap"
"id","ID","Mint","uniswap"
"transaction","Transaction","Mint","uniswap"
"timestamp","BigInt","Mint","uniswap"
"pool","Pool","Mint","uniswap"
"token0","Token","Mint","uniswap"
"token1","Token","Mint","uniswap"
"owner","Bytes","Mint","uniswap"
"sender","Bytes","Mint","uniswap"
"origin","Bytes","Mint","uniswap"
"amount","BigInt","Mint","uniswap"
"amount0","BigDecimal","Mint","uniswap"
"amount1","BigDecimal","Mint","uniswap"
"amountUSD","BigDecimal","Mint","uniswap"
"tickLower","BigInt","Mint","uniswap"
"tickUpper","BigInt","Mint","uniswap"
"logIndex","BigInt","Mint","uniswap"
"id","ID","Pool","uniswap"
"createdAtTimestamp","BigInt","Pool","uniswap"
"createdAtBlockNumber","BigInt","Pool","uniswap"
"token0","Token","Pool","uniswap"
"token1","Token","Pool","uniswap"
"feeTier","BigInt","Pool","uniswap"
"liquidity","BigInt","Pool","uniswap"
"sqrtPrice","BigInt","Pool","uniswap"
"feeGrowthGlobal0X128","BigInt","Pool","uniswap"
"feeGrowthGlobal1X128","BigInt","Pool","uniswap"
"token0Price","BigDecimal","Pool","uniswap"
"token1Price","BigDecimal","Pool","uniswap"
"tick","BigInt","Pool","uniswap"
"observationIndex","BigInt","Pool","uniswap"
"volumeToken0","BigDecimal","Pool","uniswap"
"volumeToken1","BigDecimal","Pool","uniswap"
"volumeUSD","BigDecimal","Pool","uniswap"
"untrackedVolumeUSD","BigDecimal","Pool","uniswap"
"feesUSD","BigDecimal","Pool","uniswap"
"txCount","BigInt","Pool","uniswap"
"collectedFeesToken0","BigDecimal","Pool","uniswap"
"collectedFeesToken1","BigDecimal","Pool","uniswap"
